"Day","Count","Temperature","Windspeed","Humidity","Month","DayOfWeek"
159,4401,83.3,9.17,62,6,3
160,3915,86,10.04,57,6,4
161,4586,81.5,9.42,60,6,5
162,4966,78.98,10.37,65,6,6
163,4460,76.1,10.96,75,6,7
164,5020,71.24,20.46,49,6,1
165,4891,68.72,18.04,51,6,2
166,5180,70.7,11.25,47,6,3
167,3767,70.7,13.83,69,6,4
168,4844,72.5,9.58,74,6,5
169,5119,76.46,8,67,6,6
170,4744,76.82,6.83,67,6,7
171,4010,71.24,10.42,75,6,1
172,4835,75.2,11.46,77,6,2
173,4507,79.7,11.54,71,6,3
174,4790,79.16,16,70,6,4
175,4991,78.8,14.88,57,6,5
176,5202,76.46,14.04,48,6,6
177,5305,75.2,6.33,51,6,7
178,4708,75.38,7.21,66,6,1
179,4648,80.6,9.67,63,6,2
180,5225,79.16,17.54,50,6,3
181,5515,76.46,12.42,43,6,4
182,5362,78.8,6.87,40,7,5
183,5119,80.06,7.71,44,7,6
184,4649,78.26,15.33,68,7,7
185,6043,79.16,5.46,64,7,1
186,4665,80.78,8.46,59,7,2
187,4629,78.44,10.04,74,7,3
188,4592,80.96,10.67,65,7,4
189,4040,77.54,15.08,76,7,5
190,5336,79.7,11.25,61,7,6
191,4881,80.78,12.29,58,7,7
192,4086,82.04,18.92,64,7,1
193,4258,84.74,13.42,56,7,2
194,4342,80.78,9.79,63,7,3
195,5084,75.2,16.12,48,7,4
196,5538,73.76,12.25,59,7,5
197,5923,75.74,13.96,58,7,6
198,5302,78.44,16.42,60,7,7
199,4458,80.78,14.46,65,7,1
200,4541,83.3,8.75,65,7,2
201,4332,82.58,7.63,71,7,3
202,3784,86.54,14.88,69,7,4
203,3387,89.42,8.92,58,7,5
204,3285,89.42,8.79,50,7,6
205,3606,87.8,11.33,55,7,7
206,3840,80.42,6.08,76,7,1
207,4590,82.94,13.42,54,7,2
208,4656,83.12,12.29,40,7,3
209,4390,83.48,11.96,58,7,4
210,3846,88.52,11.67,54,7,5
211,4475,85.64,11.29,47,7,6
212,4302,85.82,11.04,48,7,7
213,4266,82.94,10.5,55,8,1
214,4845,83.84,13.79,49,8,2
215,3574,79.52,9.08,66,8,3
216,4576,77.72,13.21,76,8,4
217,4866,77.72,12.37,63,8,5
218,4294,78.26,15.29,76,8,6
219,3785,80.42,13.5,75,8,7
220,4326,82.4,12.88,59,8,1
221,4602,83.12,10.13,57,8,2
222,4780,82.4,13.42,42,8,3
223,4792,78.26,11.04,42,8,4
224,4905,77.54,8.42,42,8,5
225,4150,75.56,14.17,73,8,6
226,3820,74.84,14.92,82,8,7
227,4338,73.94,14,71,8,1
228,4725,76.82,15.83,58,8,2
229,4694,78.8,9.63,58,8,3
230,3805,77.72,15.62,65,8,4
231,4153,75.56,9.33,72,8,5
232,5191,76.64,7,67,8,6
233,3873,77.72,16.67,77,8,7
234,4758,76.1,18.54,47,8,1
235,5895,71.78,9.83,46,8,2
236,5130,74.48,16.96,60,8,3
237,3542,75.56,14.13,77,8,4
238,4661,76.82,5.63,76,8,5
239,1115,75.2,25.17,85,8,6
240,4334,77.36,20.41,56,8,7
241,4634,71.42,10.71,55,8,1
242,5204,71.6,8.38,55,8,2
243,5058,73.22,5.58,60,8,3
244,5115,73.04,9.5,64,9,4
245,4727,71.96,9.38,73,9,5
246,4484,74.3,12.42,72,9,6
247,4940,77.54,13.83,74,9,7
248,3351,74.48,14.25,79,9,1
249,2710,63.32,23.04,89,9,2
250,1996,68.36,6.5,92,9,3
251,1842,71.24,12.91,94,9,4
252,3544,72.68,8.33,90,9,5
253,5345,73.4,10.29,75,9,6
254,5046,72.86,7.71,71,9,7
255,4713,72.14,5.96,69,9,1
256,4763,72.68,9.5,71,9,2
257,4785,74.48,11.21,70,9,3
258,3659,66.38,18.17,71,9,4
259,4760,57.38,11,59,9,5
260,4511,59.18,12.71,72,9,6
261,4274,60.62,11.96,70,9,7
262,4539,64.04,10.17,69,9,1
263,3641,65.12,9.04,88,9,2
264,4352,68,6.46,90,9,3
265,4795,70.7,8.58,90,9,4
266,2395,69.08,5.25,97,9,5
267,5423,68.9,5.25,86,9,6
268,5010,71.24,3.38,84,9,7
269,4630,72.5,7.42,85,9,1
270,4120,71.42,7.92,89,9,2
271,3907,71.24,9.96,85,9,3
272,4839,69.8,11.58,70,9,4
273,5202,65.3,13.83,65,9,5
274,2429,52.34,19.58,75,10,6
275,2918,47.84,14.87,79,10,7
276,3570,50.18,5.58,76,10,1
277,4456,58.64,13.79,71,10,2
278,4826,63.14,11.88,65,10,3
279,4765,59.36,9.04,62,10,4
280,4985,60.8,1.5,68,10,5
281,5409,61.7,3.04,70,10,6
282,5511,63.32,4.25,73,10,7
283,5117,65.84,2.83,73,10,1
284,4563,65.48,9.58,81,10,2
285,2416,63.5,16.63,91,10,3
286,2913,67.46,9.5,90,10,4
287,3644,64.22,15,72,10,5
288,5217,60.44,17.29,48,10,6
289,5041,60.8,18.88,49,10,7
290,4570,62.78,11.75,58,10,1
291,4748,62.6,7.38,70,10,2
292,2424,63.5,16.3,90,10,3
293,4195,57.92,28.29,64,10,4
294,4304,53.78,14.83,57,10,5
295,4308,53.42,6.21,63,10,6
296,4381,53.24,6.67,74,10,7
297,4187,56.84,7.96,77,10,1
298,4687,57.56,11.17,62,10,2
299,3894,58.64,9.96,72,10,3
300,2659,57.38,13.25,81,10,4
301,3747,45.5,15.38,59,10,5
302,627,39.02,23.54,88,10,6
303,3331,44.6,11.83,62,10,7
304,3669,46.4,7.13,70,10,1
305,4068,51.44,9.08,68,11,2
306,4186,49.46,5.5,72,11,3
307,3974,52.16,9.17,70,11,4
308,4046,51.8,18.21,62,11,5
309,3926,45.32,12.67,52,11,6
310,3649,47.12,6.17,73,11,7
311,4035,51.08,3.83,76,11,1
312,4205,52.16,4.63,72,11,2
313,4109,51.44,4.17,76,11,3
314,2933,49.82,12.67,81,11,4
315,3368,44.96,21.08,45,11,5
316,4067,47.84,14.21,55,11,6
317,3717,54.86,18.88,46,11,7
318,4486,62.42,20.54,59,11,1
319,4195,62.42,13.38,69,11,2
320,1817,56.3,9.17,93,11,3
321,3053,46.58,20.46,58,11,4
322,3392,40.82,11.29,41,11,5
323,3663,45.5,15.04,50,11,6
324,3520,56.84,12.46,68,11,7
325,2765,55.4,9.25,91,11,1
326,1607,52.88,7.96,96,11,2
327,2566,54.86,22.5,76,11,3
328,1495,49.1,11.21,55,11,4
329,2792,49.28,6.63,64,11,5
330,3068,49.46,4.58,68,11,6
331,3071,56.48,14,70,11,7
332,3867,60.26,9.52,74,11,1
333,2914,56.3,17.29,83,11,2
334,3613,45.14,18.17,61,11,3
335,3727,44.06,14.75,52,12,4
336,3940,44.24,6.75,63,12,5
337,3614,42.98,6.42,61,12,6
338,3485,45.5,5.63,78,12,7
339,3811,50.18,4.17,83,12,1
340,2594,56.66,15.58,95,12,2
341,705,52.34,17.83,97,12,3
342,3322,40.1,16.08,58,12,4
343,3620,42.26,5.54,70,12,5
344,3190,40.82,15.63,51,12,6
345,2743,36.32,4.46,49,12,7
346,3310,37.76,4.25,67,12,1
347,3523,41.54,9.42,59,12,2
348,3740,44.42,4.08,66,12,3
349,3709,53.42,17.96,63,12,4
350,3577,49.28,17.46,50,12,5
351,2739,39.38,16.29,56,12,6
352,2431,37.76,11.38,59,12,7
353,3403,41,11.58,64,12,1
354,3750,50.18,4.13,60,12,2
355,2660,53.78,14.83,86,12,3
356,3068,53.42,3.17,76,12,4
357,2209,49.1,18.37,69,12,5
358,1011,43.16,12.75,54,12,6
359,754,40.82,10.39,68,12,7
360,1317,44.78,16.04,51,12,1
361,1162,45.14,12.63,76,12,2
362,2302,42.98,19.7,50,12,3
363,2423,38.66,8,57,12,4
364,2999,43.88,9,64,12,5
365,2485,52.34,14.75,62,12,6
366,2294,48.92,12.88,69,1,7
367,1951,40.64,22.09,38,1,1
368,2236,30.2,24.5,44,1,2
369,2368,26.78,12.37,41,1,3
370,3272,40.1,8.71,52,1,4
371,4098,45.86,11.25,54,1,5
372,4521,50.9,11.71,53,1,6
373,3425,46.22,12.83,46,1,7
374,2376,36.5,6.63,70,1,1
375,3598,43.7,12.57,65,1,2
376,2177,40.82,8.79,85,1,3
377,4097,50,12.12,80,1,4
378,3214,40.82,25.33,51,1,5
379,2493,32.9,12.54,46,1,6
380,2311,31.64,16.83,42,1,7
381,2298,33.62,15.5,52,1,1
382,2935,49.1,23.39,72,1,2
383,3376,43.34,27.83,44,1,3
384,3292,33.62,14.75,50,1,4
385,3163,35.96,13.58,45,1,5
386,1301,32.18,14.92,83,1,6
387,1977,31.28,13.38,80,1,7
388,2432,36.14,7.42,91,1,1
389,4339,46.58,8.29,84,1,2
390,4270,42.44,10.79,64,1,3
391,4075,46.58,4.92,77,1,4
392,3456,53.6,22.96,74,1,5
393,4023,44.24,14.13,54,1,6
394,3243,41.54,16.08,31,1,7
395,3624,40.46,14.46,40,1,1
396,4509,50.54,17.54,42,1,2
397,4579,57.38,12.67,51,2,3
398,3761,51.44,12.54,67,2,4
399,4151,44.06,11.96,53,2,5
400,2832,39.92,8.17,78,2,6
401,2947,40.1,11.79,69,2,7
402,3784,41.54,10.3,62,2,1
403,4375,47.48,9.87,50,2,2
404,2802,39.38,8.96,72,2,3
405,3830,40.1,13,56,2,4
406,3831,41.36,7.83,54,2,5
407,2169,36.5,19.42,73,2,6
408,1529,28.4,27.42,46,2,7
409,3422,36.5,11.21,41,2,1
410,3922,44.6,9.46,51,2,2
411,4169,47.12,12.17,53,2,3
412,3005,44.42,6.13,75,2,4
413,4154,46.58,13.79,63,2,5
414,4318,46.94,12.79,53,2,6
415,2689,41.36,16.96,52,2,7
416,3129,41.36,15.35,51,2,1
417,3777,41.9,13.78,59,2,2
418,4773,51.08,15.71,57,2,3
419,5062,55.94,12.79,55,2,4
420,3487,52.16,15.92,74,2,5
421,2732,42.26,28.25,40,2,6
422,3389,41.18,13.75,41,2,7
423,4322,48.56,17.96,49,2,1
424,4363,48.02,12.96,40,2,2
425,1834,46.76,12,80,2,3
426,4990,58.64,15.21,62,3,4
427,3194,47.48,9.71,66,3,5
428,4066,52.7,10.79,62,3,6
429,3423,45.14,22.42,40,3,7
430,3333,38.12,15.33,51,3,1
431,3956,39.38,13.46,46,3,2
432,4916,51.8,23.17,51,3,3
433,5382,62.24,29.58,57,3,4
434,4569,52.34,27.79,41,3,5
435,4118,41.9,15.13,35,3,6
436,4911,48.2,14.91,48,3,7
437,5298,57.02,13.92,49,3,1
438,5847,65.48,15.88,62,3,2
439,6312,66.02,7.71,51,3,3
440,6192,64.76,10.04,58,3,4
441,4378,54.5,7.58,84,3,5
442,7836,61.16,7.42,76,3,6
443,5892,57.56,8.5,81,3,7
444,6153,63.68,10.88,73,3,1
445,6093,65.12,8.13,81,3,2
446,6230,62.6,6,82,3,3
447,6871,64.4,7.88,83,3,4
448,8362,68.54,7.79,69,3,5
449,3372,60.08,12.92,89,3,6
450,4996,54.68,14.79,88,3,7
451,5558,55.4,25.92,48,3,1
452,5102,44.96,12.54,29,3,2
453,5698,58.64,19.54,48,3,3
454,6133,59.36,21.42,44,3,4
455,5459,48.92,9.25,58,3,5
456,6235,53.42,16.79,74,3,6
457,6041,53.6,11.54,68,4,7
458,5936,54.32,20.91,50,4,1
459,6772,57.02,6.71,40,4,2
460,6436,63.5,12.13,47,4,3
461,6457,54.32,14.71,37,4,4
462,6460,51.8,20.13,38,4,5
463,6857,54.68,18.42,25,4,6
464,5169,59.9,15.58,28,4,7
465,5585,59,24,32,4,1
466,5918,55.4,16.71,44,4,2
467,4862,47.12,19.78,47,4,3
468,5409,51.26,19.46,47,4,4
469,6398,55.04,10.42,41,4,5
470,7460,59.54,12.79,50,4,6
471,7132,68.9,15.08,51,4,7
472,6370,73.76,19.08,56,4,1
473,6691,69.08,18.33,39,4,2
474,4367,56.84,11.25,57,4,3
475,6565,59.72,4.42,61,4,4
476,7290,62.24,10.04,69,4,5
477,6624,65.84,19,68,4,6
478,1027,51.08,23.08,84,4,7
479,3214,44.78,20.33,77,4,1
480,5633,52.52,16.71,45,4,2
481,6196,57.92,7.96,43,4,3
482,5026,59.72,11.83,76,4,4
483,6233,56.3,23.29,40,4,5
484,4220,49.46,8.71,49,4,6
485,6304,56.3,7.83,59,4,7
486,5572,56.84,11.5,57,4,1
487,5740,69.44,10.46,66,5,2
488,6169,65.3,9.25,80,5,3
489,6421,64.94,8.96,77,5,4
490,6296,70.7,10.92,74,5,5
491,6883,70.16,10.25,76,5,6
492,6359,65.12,10.04,74,5,7
493,6273,63.14,15.46,66,5,1
494,5728,66.74,19.83,69,5,2
495,4717,66.2,14.5,74,5,3
496,6572,60.44,21.04,55,5,4
497,7030,62.78,15.87,36,5,5
498,7429,65.3,8.25,48,5,6
499,6118,69.44,15.08,58,5,7
500,2843,66.02,14.25,79,5,1
501,5115,69.26,9.88,79,5,2
502,7424,71.42,8.21,70,5,3
503,7384,67.82,15.37,52,5,4
504,7639,65.3,9.17,52,5,5
505,8294,68.36,5.63,46,5,6
506,7129,70.16,17.04,53,5,7
507,4359,68.18,15.62,81,5,1
508,6073,69.62,7.92,77,5,2
509,5260,70.16,6.83,77,5,3
510,6770,73.04,11.58,72,5,4
511,6734,75.2,9.42,75,5,5
512,6536,76.1,13.33,73,5,6
513,6591,75.92,14.42,70,5,7
514,6043,77.9,13.17,68,5,1
515,5743,78.8,19.79,68,5,2
516,6855,73.22,9,67,5,3
517,7338,75.2,13.08,49,5,4
518,4127,72.86,15.92,76,6,5
519,8120,66.92,12.5,55,6,6
520,7641,68.54,12.33,49,6,7
521,6998,68.18,19.08,49,6,1
522,7001,63.32,14.04,61,6,2
523,7055,64.4,5.17,61,6,3
524,7494,68.54,10.54,57,6,4
525,7736,72.5,11.75,47,6,5
526,7498,77.72,9.67,44,6,6
527,6598,79.16,8.96,54,6,7
528,6664,78.62,13.92,59,6,1
529,4972,72.86,14.37,83,6,2
530,7421,73.04,23,58,6,3
531,7363,72.5,17,57,6,4
532,7665,71.6,11.83,59,6,5
533,7702,71.06,11.17,50,6,6
534,6978,67.64,9.71,60,6,7
535,5099,65.66,11.71,78,6,1
536,6825,75.92,9.92,69,6,2
537,6211,83.84,7.63,59,6,3
538,5905,85.82,7.96,57,6,4
539,5823,83.3,12.25,57,6,5
540,7458,79.52,12.04,53,6,6
541,6891,80.42,9.75,48,6,7
542,6779,78.08,20.13,50,6,1
543,7442,70.88,23.29,37,6,2
544,7335,76.64,18.21,36,6,3
545,6879,80.96,11.5,42,6,4
546,5463,88.16,11.08,49,6,5
547,5687,82.4,10.79,60,6,6
548,5531,86.54,11.29,52,7,7
549,6227,83.66,13.08,45,7,1
550,6660,83.66,8.46,49,7,2
551,7403,84.38,9.04,54,7,3
552,6241,87.62,13,46,7,4
553,6207,87.62,9.79,45,7,5
554,4840,90.5,10.96,49,7,6
555,4672,87.26,8.42,57,7,7
556,6569,77.72,12.13,68,7,1
557,6290,78.62,10.17,67,7,2
558,7264,78.26,10.17,63,7,3
559,7446,78.08,9.83,53,7,4
560,7499,79.52,5.42,49,7,5
561,6969,77.18,9.63,70,7,6
562,6031,80.78,11.17,72,7,7
563,6830,82.22,11,64,7,1
564,6786,86.9,7.67,51,7,2
565,5713,84.74,9.21,58,7,3
566,6591,82.76,11.08,60,7,4
567,5870,73.94,14,84,7,5
568,4459,68,14.29,87,7,6
569,7410,74.12,6.29,76,7,7
570,6966,80.42,9.29,69,7,1
571,7592,81.14,14.17,66,7,2
572,8173,78.8,11.04,45,7,3
573,6861,83.3,19.08,60,7,4
574,6904,83.66,10.25,59,7,5
575,6685,81.5,10.54,61,7,6
576,6597,78.62,11.42,62,7,7
577,7105,79.34,10.29,67,7,1
578,7216,77.9,11.08,70,7,2
579,7580,78.26,9.46,68,8,3
580,7261,81.32,8.67,66,8,4
581,7175,82.4,14.46,64,8,5
582,6824,84.74,17.25,61,8,6
583,5464,82.76,19.46,65,8,7
584,7013,81.32,8.67,65,8,1
585,7273,79.88,7.83,70,8,2
586,7534,80.96,7.42,67,8,3
587,7286,81.5,10.46,62,8,4
588,5786,78.08,16,72,8,5
589,6299,76.1,13.83,73,8,6
590,6544,76.82,8.21,53,8,7
591,6883,78.62,9.13,55,8,1
592,6784,79.16,11.33,69,8,2
593,7347,77.36,11.37,62,8,3
594,7605,78.44,9.5,52,8,4
595,7148,78.8,15.5,57,8,5
596,7865,75.02,11.92,60,8,6
597,4549,71.42,5.79,71,8,7
598,6530,71.42,8.71,73,8,1
599,7006,72.5,4.88,67,8,2
600,7375,74.12,4.71,68,8,3
601,7765,76.46,5.67,64,8,4
602,7582,77,4.83,62,8,5
603,6053,73.58,16.38,71,8,6
604,5255,72.86,15.33,85,8,7
605,6917,77.18,8.63,73,8,1
606,7040,79.16,12.79,62,8,2
607,7697,75.56,7.54,55,8,3
608,7713,77.36,5.17,59,8,4
609,7350,82.22,11.29,59,8,5
610,6140,81.32,7.58,64,9,6
611,5810,76.46,4.29,82,9,7
612,6034,77.54,10.13,79,9,1
613,6864,78.98,15.83,76,9,2
614,7112,79.88,12.58,74,9,3
615,6203,76.46,9.54,81,9,4
616,7504,77.18,11.5,74,9,5
617,5976,73.4,18.83,80,9,6
618,8227,69.26,15.04,55,9,7
619,7525,66.92,17.33,50,9,1
620,7767,66.38,6.17,52,9,2
621,7870,68.36,8.83,58,9,3
622,7804,69.44,5.54,64,9,4
623,8009,71.24,6.96,67,9,5
624,8714,69.08,16.58,50,9,6
625,7333,66.74,6.04,57,9,7
626,6869,66.74,10.17,73,9,1
627,4073,70.34,23.96,87,9,2
628,7591,64.4,14.42,54,9,3
629,7720,63.86,7.92,62,9,4
630,8167,68.36,10.33,67,9,5
631,8395,72.68,19,65,9,6
632,7907,62.42,14.96,47,9,7
633,7436,61.16,9.54,49,9,1
634,7538,64.22,15.83,57,9,2
635,7733,71.24,16.37,63,9,3
636,7393,72.68,9,69,9,4
637,7415,69.98,11,69,9,5
638,8555,63.5,15.25,54,9,6
639,6889,62.24,9.04,58,9,7
640,6778,61.7,6.08,65,10,1
641,4639,67.64,7,87,10,2
642,7572,73.22,4.46,79,10,3
643,7328,73.22,7.88,72,10,4
644,8156,69.62,7.13,63,10,5
645,7965,64.4,17.96,66,10,6
646,3510,52.7,9.46,71,10,7
647,5478,50,12.71,71,10,1
648,6392,55.4,12.75,76,10,2
649,7691,61.16,12.58,63,10,3
650,7570,54.32,12.17,46,10,4
651,7282,54.68,15.75,54,10,5
652,7109,50.9,9.79,49,10,6
653,6639,61.7,18.67,64,10,7
654,5875,65.12,19.83,71,10,1
655,7534,57.2,12.21,56,10,2
656,7461,56.12,6.79,69,10,3
657,7509,61.88,15.87,73,10,4
658,5424,65.3,9.04,82,10,5
659,8090,58.64,7.87,57,10,6
660,6824,56.84,11.13,51,10,7
661,7058,58.82,5.46,57,10,1
662,7466,63.68,6.33,64,10,2
663,7693,67.28,4.88,64,10,3
664,7359,64.22,8.33,80,10,4
665,7444,63.86,8.88,81,10,5
666,7852,62.42,15.79,72,10,6
667,4459,57.92,26.67,69,10,7
668,22,54.86,24,88,10,1
669,1096,44.6,14.27,83,10,2
670,5566,47.84,11.17,67,10,3
671,5986,48.56,10.54,58,11,4
672,5847,47.66,17.83,52,11,5
673,5138,46.58,18.13,49,11,6
674,5107,45.14,12,53,11,7
675,5259,44.6,15.83,49,11,1
676,5686,41.36,11.63,57,11,2
677,5035,42.62,20.38,55,11,3
678,5315,47.48,23.3,33,11,4
679,5992,48.2,14.38,54,11,5
680,6536,50.54,3.88,65,11,6
681,6852,53.24,8.54,66,11,7
682,6269,58.64,11.63,74,11,1
683,4094,46.58,22.92,66,11,2
684,5495,42.08,13.37,55,11,3
685,5445,44.78,10.25,62,11,4
686,5698,46.76,11.46,52,11,5
687,5629,45.14,12.04,55,11,6
688,4669,46.58,15.25,69,11,7
689,5499,49.82,15.75,62,11,1
690,5634,49.28,5.54,68,11,2
691,5146,47.48,6.92,61,11,3
692,2425,46.4,3.54,58,11,4
693,3910,48.74,9.92,57,11,5
694,2277,41.18,25.25,40,11,6
695,2424,38.48,10.08,47,11,7
696,5087,44.06,3.13,54,11,1
697,3959,42.26,15.92,79,11,2
698,5260,42.62,14.13,51,11,3
699,5323,41.36,7.74,56,11,4
700,5668,42.8,3.92,65,11,5
701,5191,42.8,4,81,12,6
702,4649,46.94,8.33,82,12,7
703,6234,55.94,5.54,77,12,1
704,6606,57.92,11.67,73,12,2
705,5729,54.68,21.71,48,12,3
706,5375,39.2,11.71,51,12,4
707,5008,44.78,8.75,76,12,5
708,5582,49.82,6.79,91,12,6
709,3228,50.18,10.58,91,12,7
710,5170,54.5,12.75,92,12,1
711,5501,47.48,19.83,60,12,2
712,5319,42.8,10.92,54,12,3
713,5532,42.62,11.67,49,12,4
714,5611,41.36,8.79,64,12,5
715,5047,44.96,7.13,65,12,6
716,3786,48.2,6.75,84,12,7
717,4585,50.9,6.58,91,12,1
718,5557,52.34,14.83,67,12,2
719,5267,45.68,12.33,63,12,3
720,4128,45.5,8.88,67,12,4
721,3623,45.32,25.08,56,12,5
722,1749,40.1,27.29,44,12,6
723,1787,38.48,8.92,52,12,7
724,920,37.22,5.17,79,12,1
725,1013,42.26,11.3,73,12,2
726,441,38.12,21.21,82,12,3
727,2114,39.02,23.46,65,12,4
728,3095,39.02,10.42,59,12,5
729,1341,39.02,8.33,75,12,6
730,1796,39.2,23.5,48,12,7
731,2729,35.78,10.37,58,12,1
